WEEKLY HOURS WORKED;SALARY;SEX;AGE;OCCUPATION
48;1600000.0;F;25;almacenista
40;2600000.0;F;36;almacenista
60;1160000.0;F;29;almacenista
50;1500000.0;F;67;almacenista
84;3000000.0;F;52;almacenista
50;1160000.0;M;20;almacenista
48;1700000.0;M;26;almacenista
48;1600000.0;F;11;almacenista
48;1160000.0;F;10;almacenista
48;2250000.0;F;60;almacenista
78;1000000.0;F;17;almacenista
48;1500000.0;M;9;almacenista
48;1450000.0;M;15;almacenista
24;400000.0;F;10;almacenista
60;900000.0;F;28;almacenista
48;900000.0;F;25;almacenista
60;1160000.0;F;15;almacenista
48;1160000.0;M;69;almacenista
48;1500000.0;M;14;almacenista
35;1800000.0;F;55;almacenista
48;1300600.0;F;26;almacenista
48;1200000.0;M;11;almacenista
48;1000000.0;F;37;almacenista
60;625000.0;F;26;almacenista
56;1160000.0;M;33;almacenista
48;1160000.0;F;33;almacenista
56;1160000.0;M;11;almacenista
48;1200000.0;F;78;almacenista
48;1000000.0;F;24;almacenista
54;1200000.0;M;35;almacenista
48;1300000.0;M;39;almacenista
48;1000000.0;F;61;almacenista
40;2400000.0;F;56;almacenista
48;1600000.0;F;8;almacenista
48;1400000.0;M;39;almacenista
48;1000000.0;M;69;almacenista
48;1000000.0;F;65;almacenista
48;1000000.0;F;40;almacenista
72;1016000.0;M;81;almacenista
48;1160000.0;F;58;almacenista
48;1300000.0;F;19;almacenista
48;1400000.0;F;26;almacenista
56;1160000.0;F;73;almacenista
48;1300000.0;F;65;almacenista
20;325000.0;M;25;almacenista
55;1325000.0;F;21;almacenista
48;1300000.0;M;70;almacenista
50;1200000.0;F;30;almacenista
48;1500000.0;F;74;almacenista
36;2800000.0;F;56;almacenista
48;1300000.0;F;71;almacenista
48;1300000.0;F;16;almacenista
60;1600000.0;F;49;almacenista
48;1000000.0;M;17;almacenista
48;2000000.0;F;32;almacenista
40;4000000.0;M;43;almacenista
50;1250000.0;F;6;almacenista
48;1160000.0;F;56;almacenista
48;1160000.0;F;66;almacenista
48;1000000.0;M;38;almacenista
48;1160000.0;F;8;almacenista
62;1160000.0;F;19;almacenista
48;1160000.0;F;23;almacenista
48;1400000.0;F;35;almacenista
48;1160000.0;M;31;almacenista
48;1160000.0;M;31;almacenista
48;1300000.0;F;22;almacenista
48;1260000.0;M;42;almacenista
48;1160000.0;F;32;almacenista
48;2500000.0;F;9;almacenista
48;1160000.0;M;23;almacenista
48;1160000.0;F;17;almacenista
48;1160000.0;M;69;almacenista
48;1160000.0;M;29;almacenista
72;1600000.0;F;39;almacenista
48;1100000.0;M;16;almacenista
48;1200000.0;M;65;almacenista
48;1160000.0;F;50;almacenista
48;1200000.0;F;57;almacenista
48;1500000.0;F;40;almacenista
48;1200000.0;M;22;almacenista
48;1500000.0;M;64;almacenista
48;1300000.0;F;37;almacenista
48;1160000.0;F;38;almacenista
48;1160000.0;F;64;almacenista
48;1232000.0;F;30;almacenista
48;1160000.0;M;30;almacenista
48;900000.0;F;56;almacenista
52;1160000.0;F;28;almacenista
40;2200000.0;M;15;almacenista
70;1100000.0;M;37;almacenista
48;1160000.0;M;9;almacenista
48;1300000.0;M;19;almacenista
48;1160000.0;F;47;almacenista
48;1160000.0;F;44;almacenista
48;1600000.0;F;43;almacenista
40;2000000.0;F;35;almacenista
48;900000.0;F;18;almacenista
48;2600000.0;F;46;almacenista
48;1160000.0;M;33;almacenista
