MONTHS_WORKED;HOURS_PER_WEEK;URBAN_RURAL;SEX;AGE_RANGE;SALARY_RANK;SEX_BK;OCCUPATION_BK;AGE_RANGE_BK;OCCUPATION
12;40;1;1;1;1;M;cocinero;ADULTEZ;16
12;70;1;1;1;1;M;cocinero;ADULTEZ;16
8;40;1;0;5;1;F;cocinero;VEJEZ;16
12;56;1;0;1;1;F;cocinero;ADULTEZ;16
12;66;1;0;3;2;F;cocinero;JUVENTUD;16
12;55;1;0;1;1;F;cocinero;ADULTEZ;16
12;54;1;1;1;2;M;cocinero;ADULTEZ;16
10;70;1;0;1;2;F;cocinero;ADULTEZ;16
12;56;1;1;1;2;M;cocinero;ADULTEZ;16
12;42;1;0;1;1;F;cocinero;ADULTEZ;16
12;30;1;1;2;1;M;cocinero;INFANCIA;16
12;48;1;0;1;2;F;cocinero;ADULTEZ;16
12;48;1;0;0;1;F;cocinero;ADOLESCENCIA;16
12;20;2;0;0;1;F;cocinero;ADOLESCENCIA;16
10;48;1;1;1;1;M;cocinero;ADULTEZ;16
12;20;1;0;0;1;F;cocinero;ADOLESCENCIA;16
12;48;1;1;1;2;M;cocinero;ADULTEZ;16
12;40;1;1;5;1;M;cocinero;VEJEZ;16
8;30;1;0;5;1;F;cocinero;VEJEZ;16
12;70;1;1;3;1;M;cocinero;JUVENTUD;16
12;25;1;0;3;1;F;cocinero;JUVENTUD;16
12;48;1;0;1;1;F;cocinero;ADULTEZ;16
12;48;1;0;5;2;F;cocinero;VEJEZ;16
12;48;1;1;5;1;M;cocinero;VEJEZ;16
12;48;1;0;5;2;F;cocinero;VEJEZ;16
12;30;1;1;0;1;M;cocinero;ADOLESCENCIA;16
11;48;1;0;0;2;F;cocinero;ADOLESCENCIA;16
12;60;1;0;1;3;F;cocinero;ADULTEZ;16
12;36;1;1;0;3;M;cocinero;ADOLESCENCIA;16
12;48;1;0;3;2;F;cocinero;JUVENTUD;16
5;10;1;1;5;1;M;cocinero;VEJEZ;16
2;40;1;0;1;1;F;cocinero;ADULTEZ;16
12;24;1;1;5;2;M;cocinero;VEJEZ;16
10;20;1;0;1;1;F;cocinero;ADULTEZ;16
7;40;1;0;5;1;F;cocinero;VEJEZ;16
4;48;1;1;2;1;M;cocinero;INFANCIA;16
12;40;1;1;1;2;M;cocinero;ADULTEZ;16
12;40;1;0;1;1;F;cocinero;ADULTEZ;16
12;70;1;0;1;4;F;cocinero;ADULTEZ;16
12;40;1;0;1;1;F;cocinero;ADULTEZ;16
12;50;1;1;5;1;M;cocinero;VEJEZ;16
5;48;1;0;3;1;F;cocinero;JUVENTUD;16
10;24;1;0;5;1;F;cocinero;VEJEZ;16
