MONTHS WORKED;WEEKLY HOURS WORKED;SALARY;SEX;AGE;OCCUPATION;VALUE OF THE HOUR
12;40;1200000.0;M;29;cocinero;6912.4
12;40;700000.0;F;39;cocinero;4032.3
12;70;3600000.0;F;59;cocinero;11849.9
12;40;1000000.0;F;32;cocinero;5760.4
12;50;1000000.0;M;76;cocinero;4608.3
5;48;400000.0;F;21;cocinero;1920.1
10;24;450000.0;F;64;cocinero;4320.3
12;70;900000.0;M;61;cocinero;2962.5
12;70;800000.0;M;42;cocinero;2633.3
12;42;200000.0;F;54;cocinero;1097.2
12;78;600000.0;M;38;cocinero;1772.4
1;12;260000.0;M;83;cocinero;4992.3
12;48;700000.0;F;53;cocinero;3360.2
12;48;1450000.0;F;70;cocinero;6960.4
12;55;1400000.0;M;14;cocinero;5865.1
4;50;1500000.0;F;6;cocinero;6912.4
8;48;1200000.0;F;13;cocinero;5760.4
12;40;1020000.0;M;56;cocinero;5875.6
12;40;1320000.0;F;29;cocinero;7603.7
4;28;740000.0;F;12;cocinero;6089.5
6;42;720000.0;M;16;cocinero;3950.0
12;7;80000.0;F;50;cocinero;2633.3
12;50;1300000.0;F;39;cocinero;5990.8
12;48;1000000.0;F;43;cocinero;4800.3
12;48;600000.0;M;61;cocinero;2880.2
12;40;1000000.0;M;56;cocinero;5760.4
12;30;120000.0;F;21;cocinero;921.7
3;21;80000.0;M;59;cocinero;877.8
12;36;650000.0;F;6;cocinero;4160.3
12;50;800000.0;M;36;cocinero;3686.6
12;48;2500000.0;F;36;cocinero;12000.8
12;60;1300000.0;F;66;cocinero;4992.3
3;60;1460000.0;F;47;cocinero;5606.8
12;48;280000.0;M;6;cocinero;1344.1
12;48;900000.0;F;33;cocinero;4320.3
12;40;100000.0;M;86;cocinero;576.0
1;25;1200000.0;F;15;cocinero;11059.9
12;24;1000000.0;M;45;cocinero;9600.6
12;30;985000.0;M;37;cocinero;7565.3
12;48;1710000.0;F;46;cocinero;8208.5
8;72;1095000.0;F;17;cocinero;3504.2
12;35;530000.0;M;56;cocinero;3489.1
12;48;1300000.0;F;43;cocinero;6240.4
12;48;1300000.0;F;15;cocinero;6240.4
12;48;510000.0;F;60;cocinero;2448.2
12;48;1160000.0;F;61;cocinero;5568.4
12;48;1160000.0;M;86;cocinero;5568.4
12;48;1200000.0;M;68;cocinero;5760.4
6;70;680000.0;M;40;cocinero;2238.3
12;44;780000.0;F;75;cocinero;4084.6
