MONTHS_WORKED;HOURS_PER_WEEK;SALARY;URBAN_RURAL;SEX;AGE;CODE_C.I.U.O.;OCCUPATION;VALUE_OF_THE_HOUR
8;48;1160000.0;1;M;13;5120;cocinero;5568.4
12;24;300000.0;1;F;38;5120;cocinero;2880.2
12;8;640000.0;1;M;19;5120;cocinero;18433.2
1;50;1000000.0;1;F;11;5120;cocinero;4608.3
8;60;1560000.0;1;F;44;5120;cocinero;5990.8
12;48;1160000.0;1;M;40;5120;cocinero;5568.4
12;48;960000.0;1;F;25;5120;cocinero;4608.3
12;14;200000.0;1;F;5;5120;cocinero;3291.6
3;16;200000.0;1;M;55;5120;cocinero;2880.2
12;48;1000000.0;1;F;25;5120;cocinero;4800.3
12;20;500000.0;1;F;59;5120;cocinero;5760.4
12;24;400000.0;1;M;8;5120;cocinero;3840.2
8;54;1080000.0;1;F;35;5120;cocinero;4608.3
12;19;200000.0;1;M;24;5120;cocinero;2425.4
12;48;430000.0;1;F;51;5120;cocinero;2064.1
12;48;1160000.0;1;M;71;5120;cocinero;5568.4
12;12;380000.0;1;M;31;5120;cocinero;7296.5
12;40;800000.0;1;F;12;5120;cocinero;4608.3
12;48;1300000.0;1;M;15;5120;cocinero;6240.4
12;24;600000.0;1;F;54;5120;cocinero;5760.4
12;60;770000.0;1;F;12;5120;cocinero;2957.0
12;54;1190000.0;1;M;16;5120;cocinero;5077.7
12;70;25000.0;1;F;10;5120;cocinero;82.3
12;35;400000.0;1;M;24;5120;cocinero;2633.3
12;60;1480000.0;1;M;28;5120;cocinero;5683.6
12;48;1410000.0;1;F;60;5120;cocinero;6768.4
12;48;1160000.0;1;M;39;5120;cocinero;5568.4
12;48;1300000.0;1;M;9;5120;cocinero;6240.4
12;40;600000.0;1;F;32;5120;cocinero;3456.2
12;42;650000.0;1;M;41;5120;cocinero;3565.9
5;50;230000.0;1;M;60;5120;cocinero;1059.9
12;48;1160000.0;1;F;48;5120;cocinero;5568.4
12;40;400000.0;1;F;24;5120;cocinero;2304.1
12;20;300000.0;1;M;30;5120;cocinero;3456.2
12;48;1200000.0;1;M;39;5120;cocinero;5760.4
11;48;1350000.0;1;M;46;5120;cocinero;6480.4
12;48;1300000.0;1;M;85;5120;cocinero;6240.4
12;48;600000.0;1;M;11;5120;cocinero;2880.2
12;48;1160000.0;1;F;9;5120;cocinero;5568.4
12;60;1400000.0;1;M;10;5120;cocinero;5376.3
12;15;420000.0;1;M;17;5120;cocinero;6451.6
12;48;1160000.0;1;F;7;5120;cocinero;5568.4
12;48;600000.0;1;F;62;5120;cocinero;2880.2
12;16;100000.0;1;F;18;5120;cocinero;1440.1
12;36;1300000.0;1;F;65;5120;cocinero;8320.5
12;20;200000.0;1;M;74;5120;cocinero;2304.1
12;40;800000.0;1;M;57;5120;cocinero;4608.3
12;40;600000.0;1;M;42;5120;cocinero;3456.2
8;38;300000.0;1;M;82;5120;cocinero;1819.1
12;36;450000.0;1;F;23;5120;cocinero;2880.2
12;40;300000.0;1;M;65;5120;cocinero;1728.1
1;12;300000.0;1;F;40;5120;cocinero;5760.4
12;40;600000.0;1;M;77;5120;cocinero;3456.2
12;60;750000.0;1;M;51;5120;cocinero;2880.2
5;48;600000.0;1;M;17;5120;cocinero;2880.2
12;30;800000.0;1;F;90;5120;cocinero;6144.4
6;12;380000.0;1;M;32;5120;cocinero;7296.5
12;50;1400000.0;1;F;16;5120;cocinero;6451.6
12;72;1160000.0;1;M;70;5120;cocinero;3712.2
12;60;1200000.0;1;M;38;5120;cocinero;4608.3
12;24;25000.0;1;F;58;5120;cocinero;240.0
11;40;150000.0;1;F;60;5120;cocinero;864.1
12;48;1500000.0;1;M;14;5120;cocinero;7200.5
12;70;900000.0;1;M;9;5120;cocinero;2962.5
12;24;800000.0;1;M;66;5120;cocinero;7680.5
12;48;840000.0;1;F;31;5120;cocinero;4032.3
12;40;1100000.0;1;M;37;5120;cocinero;6336.4
12;70;300000.0;1;M;34;5120;cocinero;987.5
8;40;690000.0;1;F;62;5120;cocinero;3974.7
12;56;1100000.0;1;F;35;5120;cocinero;4526.0
12;66;1460000.0;1;F;22;5120;cocinero;5097.1
12;55;890000.0;1;F;28;5120;cocinero;3728.5
12;54;1600000.0;1;M;45;5120;cocinero;6827.1
10;70;1260000.0;1;F;35;5120;cocinero;4147.5
12;56;1450000.0;1;M;32;5120;cocinero;5966.1
12;42;280000.0;1;F;34;5120;cocinero;1536.1
12;30;450000.0;1;M;10;5120;cocinero;3456.2
12;48;1450000.0;1;F;27;5120;cocinero;6960.4
12;48;1160000.0;1;F;14;5120;cocinero;5568.4
12;20;400000.0;2;F;17;5120;cocinero;4608.3
10;48;1000000.0;1;M;30;5120;cocinero;4800.3
12;20;250000.0;1;F;13;5120;cocinero;2880.2
12;48;1200000.0;1;M;29;5120;cocinero;5760.4
12;40;300000.0;1;M;69;5120;cocinero;1728.1
8;30;100000.0;1;F;68;5120;cocinero;768.0
12;70;1160000.0;1;M;24;5120;cocinero;3818.3
12;25;100000.0;1;F;22;5120;cocinero;921.7
12;48;1116000.0;1;F;58;5120;cocinero;5357.1
12;48;1610000.0;1;F;74;5120;cocinero;7728.5
12;48;1160000.0;1;M;70;5120;cocinero;5568.4
12;48;1450000.0;1;F;70;5120;cocinero;6960.4
12;30;1100000.0;1;M;16;5120;cocinero;8448.5
11;48;1350000.0;1;F;12;5120;cocinero;6480.4
12;60;2450000.0;1;F;58;5120;cocinero;9408.6
12;36;2550000.0;1;M;14;5120;cocinero;16321.0
12;48;1610000.0;1;F;20;5120;cocinero;7728.5
5;10;70000.0;1;M;70;5120;cocinero;1612.9
2;40;1000000.0;1;F;36;5120;cocinero;5760.4
12;24;1190000.0;1;M;77;5120;cocinero;11424.7
10;20;550000.0;1;F;34;5120;cocinero;6336.4
7;40;800000.0;1;F;81;5120;cocinero;4608.3
4;48;960000.0;1;M;11;5120;cocinero;4608.3
12;40;1200000.0;1;M;29;5120;cocinero;6912.4
12;40;700000.0;1;F;39;5120;cocinero;4032.3
12;70;3600000.0;1;F;59;5120;cocinero;11849.9
12;40;1000000.0;1;F;32;5120;cocinero;5760.4
12;50;1000000.0;1;M;76;5120;cocinero;4608.3
5;48;400000.0;1;F;21;5120;cocinero;1920.1
10;24;450000.0;1;F;64;5120;cocinero;4320.3
12;70;900000.0;1;M;61;5120;cocinero;2962.5
12;70;800000.0;1;M;42;5120;cocinero;2633.3
12;42;200000.0;1;F;54;5120;cocinero;1097.2
12;78;600000.0;1;M;38;5120;cocinero;1772.4
1;12;260000.0;1;M;83;5120;cocinero;4992.3
12;48;700000.0;1;F;53;5120;cocinero;3360.2
12;48;1450000.0;1;F;70;5120;cocinero;6960.4
12;55;1400000.0;1;M;14;5120;cocinero;5865.1
4;50;1500000.0;1;F;6;5120;cocinero;6912.4
8;48;1200000.0;1;F;13;5120;cocinero;5760.4
12;40;1020000.0;1;M;56;5120;cocinero;5875.6
12;40;1320000.0;1;F;29;5120;cocinero;7603.7
4;28;740000.0;1;F;12;5120;cocinero;6089.5
6;42;720000.0;1;M;16;5120;cocinero;3950.0
12;7;80000.0;1;F;50;5120;cocinero;2633.3
12;50;1300000.0;1;F;39;5120;cocinero;5990.8
12;48;1000000.0;1;F;43;5120;cocinero;4800.3
12;48;600000.0;1;M;61;5120;cocinero;2880.2
12;40;1000000.0;1;M;56;5120;cocinero;5760.4
12;30;120000.0;1;F;21;5120;cocinero;921.7
3;21;80000.0;1;M;59;5120;cocinero;877.8
12;36;650000.0;1;F;6;5120;cocinero;4160.3
12;50;800000.0;1;M;36;5120;cocinero;3686.6
12;48;2500000.0;1;F;36;5120;cocinero;12000.8
12;60;1300000.0;1;F;66;5120;cocinero;4992.3
3;60;1460000.0;1;F;47;5120;cocinero;5606.8
12;48;280000.0;1;M;6;5120;cocinero;1344.1
12;48;900000.0;1;F;33;5120;cocinero;4320.3
12;40;100000.0;1;M;86;5120;cocinero;576.0
1;25;1200000.0;1;F;15;5120;cocinero;11059.9
12;24;1000000.0;1;M;45;5120;cocinero;9600.6
12;30;985000.0;1;M;37;5120;cocinero;7565.3
12;48;1710000.0;1;F;46;5120;cocinero;8208.5
8;72;1095000.0;1;F;17;5120;cocinero;3504.2
12;35;530000.0;1;M;56;5120;cocinero;3489.1
12;48;1300000.0;1;F;43;5120;cocinero;6240.4
12;48;1300000.0;1;F;15;5120;cocinero;6240.4
12;48;510000.0;1;F;60;5120;cocinero;2448.2
12;48;1160000.0;1;F;61;5120;cocinero;5568.4
12;48;1160000.0;1;M;86;5120;cocinero;5568.4
12;48;1200000.0;1;M;68;5120;cocinero;5760.4
6;70;680000.0;1;M;40;5120;cocinero;2238.3
12;44;780000.0;1;F;75;5120;cocinero;4084.6
12;24;550000.0;1;F;38;5120;cocinero;5280.3
6;40;500000.0;1;M;50;5120;cocinero;2880.2
12;42;300000.0;1;M;9;5120;cocinero;1645.8
3;32;480000.0;1;M;35;5120;cocinero;3456.2
12;24;100000.0;1;M;29;5120;cocinero;960.1
12;40;1000000.0;1;M;12;5120;cocinero;5760.4
5;48;800000.0;1;F;15;5120;cocinero;3840.2
12;40;800000.0;1;F;6;5120;cocinero;4608.3
12;45;540000.0;2;M;34;5120;cocinero;2765.0
7;40;820000.0;2;M;62;5120;cocinero;4723.5
2;8;70000.0;1;M;18;5120;cocinero;2016.1
12;36;1000000.0;1;M;13;5120;cocinero;6400.4
12;36;1000000.0;1;F;7;5120;cocinero;6400.4
12;42;300000.0;1;M;53;5120;cocinero;1645.8
12;28;300000.0;2;M;66;5120;cocinero;2468.7
8;42;250000.0;2;M;22;5120;cocinero;1371.5
7;45;210000.0;2;M;48;5120;cocinero;1075.3
12;35;60000.0;1;M;63;5120;cocinero;395.0
4;16;264000.0;1;F;15;5120;cocinero;3801.8
12;70;1340000.0;1;F;22;5120;cocinero;4410.8
12;18;966000.0;1;F;38;5120;cocinero;12365.6
12;84;1210000.0;2;M;45;5120;cocinero;3319.1
12;45;700000.0;1;F;35;5120;cocinero;3584.2
12;48;400000.0;1;M;36;5120;cocinero;1920.1
11;56;1150000.0;2;M;38;5120;cocinero;4731.7
12;60;1600000.0;1;M;59;5120;cocinero;6144.4
12;48;300000.0;2;M;31;5120;cocinero;1440.1
12;12;800000.0;1;F;26;5120;cocinero;15361.0
12;45;300000.0;1;F;31;5120;cocinero;1536.1
10;50;900000.0;1;F;6;5120;cocinero;4147.5
12;48;1300000.0;1;F;54;5120;cocinero;6240.4
12;6;96000.0;1;M;46;5120;cocinero;3686.6
12;42;840000.0;1;M;29;5120;cocinero;4608.3
12;24;600000.0;1;F;85;5120;cocinero;5760.4
12;70;450000.0;1;M;46;5120;cocinero;1481.2
12;48;480000.0;1;F;26;5120;cocinero;2304.1
12;30;400000.0;1;F;17;5120;cocinero;3072.2
12;28;20000.0;1;M;78;5120;cocinero;164.6
12;40;800000.0;1;F;6;5120;cocinero;4608.3
12;20;200000.0;1;M;31;5120;cocinero;2304.1
12;56;700000.0;1;M;20;5120;cocinero;2880.2
4;54;1000000.0;1;F;48;5120;cocinero;4266.9
1;30;388000.0;1;F;34;5120;cocinero;2980.0
12;40;400000.0;1;M;16;5120;cocinero;2304.1
12;48;1200000.0;1;F;71;5120;cocinero;5760.4
12;48;1440000.0;1;F;26;5120;cocinero;6912.4
12;48;1650000.0;1;F;53;5120;cocinero;7920.5
12;40;500000.0;1;M;39;5120;cocinero;2880.2
1;30;470000.0;1;M;23;5120;cocinero;3609.8
12;40;950000.0;1;M;6;5120;cocinero;5472.4
12;60;900000.0;1;F;57;5120;cocinero;3456.2
12;15;440000.0;1;M;81;5120;cocinero;6758.8
12;30;400000.0;1;M;30;5120;cocinero;3072.2
12;48;1300000.0;1;F;11;5120;cocinero;6240.4
12;50;1160000.0;1;F;45;5120;cocinero;5345.6
12;60;1160000.0;1;F;38;5120;cocinero;4454.7
12;70;300000.0;1;M;47;5120;cocinero;987.5
12;48;1160000.0;1;F;40;5120;cocinero;5568.4
12;48;2800000.0;1;F;35;5120;cocinero;13440.9
